name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description
SL05	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
SL06	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
TL01	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TL02	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TL03	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TL04	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TL05	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TL06	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TL07	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
TL08	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
VL01	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
VL02	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
VL03	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
VL04	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
VL05	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
VL06	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
VL07	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
VL08	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
WL01	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
WL02	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
WL03	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
WL04	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
WL05	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
WL06	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
WL07	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
WL08	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
UL01	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
UL02	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
UL03	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
UL04	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
UL05	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
UL06	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
el063	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
el064	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
MKR1+	TRIG	µV	468	0.15	MKR1-	other	2048	n/a	good	not included
XL01	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
XL02	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
XL03	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
XL04	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
XL05	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
XL06	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
XL07	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
XL08	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
YL01	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
YL02	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
YL03	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
YL04	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
YL05	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
YL06	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
YL07	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
YL08	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
ZL01	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ZL02	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	noisy (visual assessment)
ZL03	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ZL04	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ZL05	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ZL06	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
XTR5	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XTR6	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
pB25+	OTHER	µV	468	0.15	pB25-	other	2048	n/a	bad	not recording
pB26+	OTHER	µV	468	0.15	pB26-	other	2048	n/a	bad	not recording
pB27+	OTHER	µV	468	0.15	pB27-	other	2048	n/a	bad	not recording
pB28+	OTHER	µV	468	0.15	pB28-	other	2048	n/a	bad	not recording
ah+	OTHER	µV	468	0.15	ah-	other	2048	n/a	bad	not recording
ecg+	ECG	µV	468	0.15	ecg-	other	2048	n/a	good	not included
orb+	EOG	µV	468	0.15	orb-	other	2048	n/a	good	not included
emg+	EMG	µV	468	0.15	emg-	other	2048	n/a	good	not included
PHL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHL8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHL8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FEL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FEL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FEL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FEL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FEL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	noisy (visual assessment)
FEL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FEL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FEL8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FEL9	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
FEL10	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
ZTR1	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
ZTR2	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
ZTR3	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
ZTR4	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
ZTR5	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
ZTR6	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
thor+	OTHER	Adim.	468	0.15	thor-	other	2048	n/a	bad	not recording
abdo+	OTHER	Adim.	468	0.15	abdo-	other	2048	n/a	bad	not recording
xyz+	OTHER	Adim.	468	0.15	xyz-	other	2048	n/a	bad	not recording
MKR2+	TRIG	µV	468	0.15	MKR2-	other	2048	n/a	good	not included
